iter	RMSE
0	582.9059435
1	573.3464406
2	567.2607977
3	562.4294933
4	558.174566
5	554.0094725
6	548.9316259
7	544.6088923
8	541.8801735
9	537.6688676
10	534.9192957
11	532.6656106
12	530.3390618
13	529.056867
14	525.7667933
15	524.1240111
16	522.0412338
17	520.2051263
18	516.9606122
19	515.5252964
20	513.0486618
21	511.5742853
22	509.9395071
23	506.898767
24	504.5573876
25	502.9915881
26	500.9726561
27	498.2566205
28	496.9280309
29	494.2370389
30	492.6744626
31	491.35807
32	489.4037921
33	487.2713614
34	485.3446726
35	483.2078716
36	480.5998153
37	478.8854408
38	476.2869462
39	474.861604
40	472.6821602
41	471.4391666
42	469.773359
43	468.1056114
44	466.8142129
45	465.6095389
46	464.1747149
47	462.7491533
48	461.5961142
49	460.0862341
50	458.6012857
51	457.6883482
52	456.5485359
53	454.9049806
54	453.8911195
55	452.6736077
56	451.4887723
57	450.2397948
58	449.1308259
59	447.3892758
60	445.6974898
61	444.2351134
62	443.4984922
63	442.7637803
64	441.321357
65	440.4375758
66	439.2836042
67	437.6816705
68	436.4472837
69	435.3032368
70	434.3122083
71	433.156686
72	432.1584062
73	430.7337303
74	429.2025717
75	428.2605053
76	427.7114907
77	426.4024062
78	424.8677047
79	424.1943128
80	423.7027704
81	422.7283054
82	421.7068619
83	420.1659532
84	419.3852706
85	417.9888647
86	417.1439553
87	416.0894376
88	415.1360675
89	413.7566348
90	412.881923
91	411.7689296
92	410.746109
93	410.1724301
94	408.7786926
95	407.8918228
96	406.7473007
97	405.5965821
98	404.5135732
99	403.9066783
100	403.0936927
101	402.433301
102	401.8036756
103	401.1398397
104	400.1689771
105	399.6764582
106	399.0764178
107	398.1926796
108	397.2674646
109	396.5668922
110	396.0889326
111	395.3499323
112	394.9429298
113	394.1150294
114	392.6531394
115	392.3112929
116	391.1127956
117	390.0972622
118	388.9603663
119	388.3344953
120	387.6930783
121	386.9467871
122	386.3177377
123	385.5141405
124	385.0365274
125	384.6236219
126	383.939328
127	383.0700764
128	382.099179
129	381.3534387
130	380.7473353
131	379.975652
132	379.4389134
133	378.2758813
134	377.6510033
135	377.1136631
136	376.7407352
137	375.8051427
138	374.8609684
139	374.5166155
140	373.4435932
141	372.8474612
142	372.110149
143	371.080915
144	370.5798347
145	369.599689
146	368.9311198
147	367.9195574
148	366.9701151
149	366.0742593
150	365.6071219
151	365.0652874
152	364.6133521
153	363.995201
154	362.9406431
155	362.2567146
156	361.986089
157	361.3573562
158	360.4970115
159	359.9386206
160	359.3440312
161	358.7909682
162	357.8963804
163	357.0690435
164	356.3440564
165	355.2413563
166	354.736847
167	354.4306727
168	354.0099725
169	353.2575514
170	352.4974339
171	352.0865747
172	351.2649458
173	350.9518742
174	350.1803099
175	349.639936
176	348.9627549
177	348.1194784
178	347.8321737
179	347.4579972
180	346.6572569
181	346.3174144
182	345.9673229
183	345.6086073
184	344.678765
185	343.9346104
186	343.6287927
187	342.9052652
188	342.4556886
189	341.7828573
190	341.3534369
191	340.9564368
192	340.4932848
193	340.0737051
194	339.775277
195	339.3449806
196	338.4304453
197	337.8845421
198	337.2874352
199	336.5508866
200	335.9044582
201	335.5731552
202	334.9473078
203	334.7082297
204	334.4603279
205	333.7491793
206	333.1906403
207	332.7450127
208	332.0872829
209	331.4272725
210	331.1836779
211	330.790346
212	330.5557643
213	330.2113721
214	329.7827518
215	329.0939955
216	328.4586057
217	328.2618796
218	327.9448
219	327.7811082
220	327.3525402
221	326.6773885
222	326.0981022
223	325.6354137
224	325.3767058
225	324.9673981
226	324.7026269
227	324.283079
228	323.7389711
229	323.5897605
230	322.9811355
231	322.3821263
232	322.0136633
233	321.7643602
234	321.491548
235	320.8469303
236	320.3539091
237	319.7281975
238	318.9924528
239	318.7888968
240	318.0230786
241	317.1754447
242	316.6670789
243	316.2809201
244	315.3599261
245	314.7183194
246	314.2234482
247	313.8181432
248	313.1791223
249	312.7634019
250	312.3231631
251	311.9769361
252	311.2648407
253	310.9173764
254	310.7232022
255	310.1914423
256	309.9349088
257	309.5301119
258	309.0402437
259	308.1705682
260	307.9316459
261	306.9978116
262	306.6316855
263	306.0318809
264	305.710613
265	305.0720433
266	304.8410921
267	304.4836484
268	303.9389526
269	303.6170898
270	303.2103583
271	303.0091516
272	302.5786504
273	302.3864821
274	301.8971506
275	301.5428623
276	301.4000092
277	301.0616179
278	300.4129389
279	299.9554194
280	299.462389
281	299.1889883
282	298.9432493
283	298.7624136
284	298.1058833
285	297.8644936
286	297.6389515
287	296.9294506
288	296.58348
289	295.9942901
290	295.6192867
291	295.0203081
292	294.6016846
293	294.3870727
294	293.8969917
295	293.7151564
296	293.3142276
297	293.0906649
298	292.8298327
299	292.507365
300	292.0597895
301	291.9039894
302	291.6293355
303	291.4243115
304	290.9692257
305	290.6250321
306	289.943019
307	289.7106728
308	289.1535121
309	288.4643431
310	288.1078538
311	287.8866138
312	287.7060815
313	287.2504819
314	287.0488423
315	286.6821542
316	286.4268858
317	286.2571258
318	285.6395758
319	285.5134168
320	285.127047
321	284.8438812
322	284.7101679
323	284.4820319
324	284.3542396
325	283.8819635
326	283.3685079
327	282.9519173
328	282.7455296
329	282.3887193
330	282.0339622
331	281.5136203
332	281.3994069
333	281.2199702
334	280.9067608
335	280.4169681
336	279.9447691
337	279.6402508
338	279.3086593
339	278.7765641
340	278.3577062
341	277.6090155
342	277.4026892
343	276.9442575
344	276.4310209
345	276.1384736
346	275.9860058
347	275.716547
348	275.370083
349	275.0288498
350	274.6738567
351	274.2144933
352	273.8723058
353	273.4486294
354	273.3224123
355	273.1635238
356	272.667534
357	272.3245048
358	271.9081076
359	271.5242479
360	271.1896608
361	270.8494616
362	270.4531798
363	270.0611836
364	269.9169356
365	269.5660597
366	269.4485589
367	269.36506
368	269.1989263
369	268.9914137
370	268.5555612
371	268.1578194
372	267.9682016
373	267.506754
374	267.1903258
375	266.8088543
376	266.4337661
377	266.1466593
378	265.8469153
379	265.3568586
380	265.0779659
381	264.7828849
382	264.37442
383	264.1835599
384	263.761793
