iter	Passed	Remaining
0	11	11677
1	22	11001
2	32	10744
3	42	10579
4	52	10491
5	62	10425
6	72	10328
7	82	10229
8	92	10140
9	101	10038
10	110	9970
11	120	9895
12	129	9828
13	138	9760
14	147	9716
15	157	9677
16	166	9645
17	176	9623
18	185	9590
19	194	9554
20	204	9528
21	213	9489
22	222	9462
23	232	9441
24	241	9424
25	251	9405
26	260	9393
27	270	9377
28	279	9363
29	289	9351
30	298	9331
31	307	9314
32	317	9294
33	326	9287
34	336	9276
35	346	9286
36	356	9277
37	366	9266
38	375	9259
39	385	9248
40	395	9250
41	404	9236
42	414	9223
43	427	9279
44	437	9278
45	449	9326
46	464	9426
47	474	9412
48	484	9403
49	493	9382
50	503	9363
51	512	9345
52	522	9327
53	531	9314
54	541	9305
55	551	9292
56	561	9287
57	571	9283
58	581	9267
59	590	9252
60	600	9238
61	609	9221
62	618	9205
63	628	9189
64	637	9173
65	646	9155
66	656	9141
67	666	9136
68	676	9123
69	685	9112
70	695	9099
71	705	9091
72	715	9083
73	725	9076
74	735	9065
75	744	9052
76	753	9037
77	763	9027
78	773	9019
79	782	9002
80	792	8986
81	801	8974
82	811	8960
83	821	8956
84	831	8945
85	840	8933
86	849	8919
87	859	8910
88	869	8901
89	879	8891
90	888	8879
91	898	8864
92	907	8851
93	918	8855
94	930	8859
95	939	8850
96	949	8839
97	959	8829
98	968	8816
99	979	8817
100	989	8803
101	1000	8812
102	1010	8797
103	1019	8782
104	1028	8768
105	1037	8754
106	1047	8739
107	1056	8728
108	1066	8716
109	1075	8702
110	1084	8688
111	1094	8677
112	1103	8663
113	1113	8651
114	1122	8639
115	1131	8624
116	1141	8614
117	1151	8603
118	1160	8593
119	1170	8584
120	1179	8571
121	1189	8561
122	1199	8549
123	1208	8539
124	1218	8528
125	1227	8515
126	1237	8505
127	1247	8495
128	1256	8486
129	1266	8476
130	1276	8465
131	1285	8454
132	1294	8441
133	1304	8428
134	1313	8417
135	1323	8405
136	1332	8392
137	1341	8379
138	1350	8366
139	1359	8353
140	1369	8343
141	1378	8331
142	1388	8319
143	1397	8309
144	1407	8298
145	1418	8300
146	1428	8289
147	1438	8280
148	1447	8268
149	1457	8258
150	1467	8248
151	1476	8236
152	1486	8226
153	1495	8214
154	1505	8206
155	1514	8195
156	1523	8182
157	1533	8172
158	1543	8162
159	1552	8152
160	1562	8142
161	1572	8132
162	1581	8122
163	1591	8112
164	1600	8100
165	1610	8090
166	1619	8079
167	1628	8067
168	1638	8055
169	1647	8044
170	1657	8035
171	1666	8023
172	1676	8013
173	1685	8001
174	1695	7991
175	1704	7981
176	1714	7971
177	1723	7960
178	1732	7948
179	1742	7937
180	1751	7927
181	1761	7915
182	1770	7904
183	1779	7893
184	1789	7883
185	1798	7872
186	1807	7860
187	1817	7849
188	1826	7837
189	1836	7827
190	1845	7816
191	1854	7805
192	1864	7797
193	1874	7788
194	1884	7777
195	1893	7767
196	1903	7758
197	1915	7760
198	1925	7749
199	1935	7741
200	1944	7729
201	1953	7717
202	1963	7709
203	1974	7704
204	1983	7693
205	1993	7682
206	2002	7671
207	2011	7660
208	2021	7649
209	2031	7641
210	2040	7629
211	2049	7619
212	2059	7608
213	2068	7596
214	2077	7584
215	2086	7574
216	2096	7564
217	2105	7552
218	2114	7542
219	2124	7530
220	2133	7519
221	2142	7509
222	2152	7499
223	2161	7489
224	2171	7478
225	2180	7468
226	2189	7457
227	2199	7446
228	2208	7436
229	2217	7424
230	2227	7415
231	2237	7406
232	2246	7396
233	2256	7385
234	2265	7374
235	2275	7366
236	2284	7355
237	2294	7347
238	2304	7336
239	2313	7326
240	2323	7317
241	2333	7308
242	2342	7298
243	2352	7288
244	2362	7279
245	2372	7271
246	2382	7261
247	2391	7252
248	2403	7247
249	2412	7238
250	2422	7228
251	2432	7218
252	2441	7209
253	2451	7198
254	2460	7187
255	2469	7177
256	2478	7166
257	2488	7157
258	2498	7147
259	2508	7138
260	2517	7127
261	2526	7117
262	2536	7107
263	2546	7097
264	2555	7087
265	2565	7077
266	2574	7067
267	2583	7056
268	2593	7046
269	2602	7036
270	2611	7025
271	2620	7014
272	2630	7003
273	2639	6993
274	2648	6982
275	2658	6972
276	2667	6962
277	2677	6952
278	2686	6943
279	2696	6933
280	2705	6923
281	2715	6912
282	2724	6902
283	2733	6891
284	2743	6883
285	2752	6872
286	2762	6861
287	2771	6852
288	2781	6842
289	2791	6833
290	2800	6823
291	2809	6813
292	2819	6804
293	2829	6793
294	2838	6783
295	2847	6772
296	2857	6762
297	2866	6751
298	2875	6742
299	2884	6731
300	2894	6722
301	2907	6719
302	2916	6709
303	2925	6698
304	2935	6688
305	2945	6679
306	2956	6673
307	2966	6665
308	2976	6655
309	2986	6646
310	2995	6636
311	3004	6626
312	3014	6615
313	3023	6605
314	3032	6595
315	3042	6585
316	3051	6574
317	3060	6564
318	3070	6554
319	3079	6544
320	3089	6534
321	3098	6524
322	3107	6514
323	3117	6503
324	3126	6493
325	3135	6483
326	3145	6473
327	3155	6464
328	3164	6453
329	3173	6443
330	3182	6432
331	3192	6423
332	3201	6412
333	3210	6402
334	3220	6392
335	3229	6383
336	3239	6373
337	3248	6363
338	3258	6353
339	3268	6344
340	3278	6335
341	3290	6331
342	3302	6324
343	3311	6315
344	3321	6305
345	3330	6295
346	3339	6284
347	3349	6274
348	3358	6264
349	3368	6255
350	3378	6247
351	3389	6239
352	3399	6231
353	3411	6226
354	3422	6218
355	3432	6209
356	3442	6200
357	3452	6191
358	3462	6182
359	3472	6172
360	3482	6163
361	3491	6153
362	3501	6144
363	3510	6134
364	3520	6124
365	3529	6114
366	3539	6104
367	3548	6093
368	3557	6083
369	3566	6073
370	3576	6063
371	3585	6053
372	3595	6043
373	3605	6034
374	3614	6024
375	3624	6015
376	3634	6005
377	3643	5995
378	3653	5986
379	3663	5978
380	3673	5968
381	3683	5958
382	3693	5949
383	3702	5939
384	3712	5930
385	3721	5920
386	3731	5909
387	3740	5900
388	3750	5890
389	3760	5881
390	3769	5871
391	3779	5862
392	3789	5852
393	3798	5842
394	3808	5832
395	3817	5823
396	3827	5813
397	3836	5802
398	3846	5793
399	3856	5784
400	3865	5774
401	3875	5765
402	3885	5756
403	3895	5747
404	3907	5740
405	3918	5732
406	3928	5723
407	3937	5713
408	3947	5703
409	3956	5693
410	3969	5687
411	3978	5678
412	3988	5668
413	3997	5658
414	4007	5649
415	4017	5639
416	4026	5629
417	4036	5619
418	4045	5609
419	4055	5600
420	4065	5590
421	4074	5580
422	4083	5570
423	4092	5560
424	4102	5550
425	4112	5541
426	4121	5531
427	4131	5521
428	4141	5511
429	4151	5502
430	4160	5492
431	4170	5483
432	4179	5473
433	4189	5463
434	4198	5453
435	4208	5443
436	4218	5434
437	4227	5424
438	4237	5414
439	4246	5404
440	4256	5395
441	4265	5385
442	4275	5375
443	4285	5366
444	4295	5356
445	4305	5347
446	4314	5337
447	4324	5327
448	4333	5317
449	4342	5307
450	4352	5298
451	4361	5288
452	4371	5278
453	4381	5269
454	4391	5259
455	4400	5249
456	4410	5240
457	4420	5230
458	4429	5221
459	4439	5211
460	4448	5201
461	4458	5192
462	4468	5182
463	4477	5172
464	4487	5163
465	4497	5154
466	4507	5144
467	4517	5135
468	4526	5125
469	4536	5115
470	4546	5106
471	4556	5096
472	4565	5087
473	4575	5077
474	4585	5068
475	4595	5058
476	4604	5048
477	4613	5038
478	4623	5029
479	4633	5019
480	4643	5010
481	4652	5000
482	4662	4990
483	4671	4980
484	4681	4970
485	4690	4960
486	4700	4951
487	4710	4941
488	4719	4931
489	4729	4922
490	4738	4912
491	4748	4902
492	4757	4892
493	4767	4883
494	4777	4873
495	4786	4864
496	4796	4854
497	4805	4844
498	4815	4834
499	4824	4824
500	4834	4815
501	4844	4805
502	4853	4795
503	4863	4786
504	4873	4777
505	4882	4766
506	4892	4757
507	4901	4747
508	4910	4737
509	4922	4729
510	4933	4721
511	4943	4711
512	4953	4702
513	4962	4692
514	4971	4682
515	4982	4673
516	4993	4664
517	5002	4655
518	5012	4645
519	5022	4635
520	5032	4626
521	5041	4616
522	5050	4606
523	5060	4596
524	5070	4587
525	5079	4577
526	5089	4567
527	5098	4558
528	5108	4548
529	5118	4538
530	5128	4529
531	5137	4519
532	5146	4509
533	5156	4499
534	5165	4489
535	5175	4480
536	5185	4470
537	5194	4460
538	5203	4450
539	5213	4441
540	5222	4431
541	5232	4421
542	5242	4411
543	5251	4402
544	5261	4392
545	5271	4383
546	5280	4373
547	5289	4363
548	5299	4353
549	5309	4343
550	5318	4334
551	5328	4324
552	5338	4314
553	5347	4305
554	5357	4295
555	5366	4285
556	5377	4277
557	5387	4267
558	5397	4258
559	5407	4248
560	5416	4238
561	5427	4229
562	5436	4219
563	5445	4209
564	5455	4200
565	5465	4190
566	5474	4180
567	5484	4171
568	5493	4161
569	5503	4151
570	5513	4142
571	5522	4132
572	5531	4122
573	5541	4112
574	5551	4102
575	5560	4093
576	5569	4083
577	5579	4073
578	5589	4064
579	5599	4054
580	5608	4044
581	5617	4034
582	5627	4025
583	5636	4015
584	5645	4005
585	5655	3995
586	5664	3985
587	5673	3975
588	5683	3965
589	5692	3956
590	5702	3946
591	5712	3936
592	5721	3926
593	5730	3917
594	5740	3907
595	5750	3897
596	5759	3887
597	5768	3878
598	5778	3868
599	5788	3858
600	5797	3849
601	5807	3839
602	5816	3829
603	5826	3819
604	5835	3810
605	5844	3800
606	5854	3790
607	5864	3780
608	5874	3771
609	5884	3761
610	5893	3752
611	5903	3742
612	5915	3734
613	5925	3725
614	5934	3715
615	5944	3705
616	5953	3695
617	5964	3686
618	5974	3677
619	5983	3667
620	5992	3657
621	6002	3647
622	6011	3637
623	6021	3628
624	6030	3618
625	6040	3608
626	6049	3599
627	6059	3589
628	6068	3579
629	6078	3569
630	6088	3560
631	6097	3550
632	6106	3540
633	6116	3530
634	6125	3521
635	6134	3511
